Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng
Canada,Granby,54,Moderate,2,Good,8,Good,8,Good,54,Moderate,45.4,-72.7333
Canada,Granby,54,Moderate,2,Good,8,Good,8,Good,54,Moderate,41.9694,-72.8346
Australia,Griffith,24,Good,0,Good,24,Good,0,Good,10,Good,41.5277,-87.4239
Brazil,Guarapari,52,Moderate,1,Good,23,Good,1,Good,52,Moderate,-20.65,-40.5
Venezuela (Bolivarian Republic of),Guasdualito,55,Moderate,1,Good,8,Good,1,Good,55,Moderate,7.2467,-70.7292
United States of America,Gurnee,57,Moderate,2,Good,24,Good,14,Good,57,Moderate,42.3708,-87.9392
United States of America,Hacienda Heights,117,Unhealthy for Sensitive Groups,4,Good,4,Good,36,Good,117,Unhealthy for Sensitive Groups,33.997,-117.9727
United States of America,Hermosa Beach,106,Unhealthy for Sensitive Groups,3,Good,4,Good,40,Good,106,Unhealthy for Sensitive Groups,33.8653,-118.3962
United States of America,Imperial Beach,59,Moderate,2,Good,23,Good,19,Good,59,Moderate,32.5693,-117.118
Brazil,Itaocara,58,Moderate,2,Good,4,Good,4,Good,58,Moderate,-21.6789,-42.0819
Brazil,Itaquaquecetuba,172,Unhealthy,7,Good,0,Good,22,Good,172,Unhealthy,-23.4864,-46.3486
Mexico,Jamay,56,Moderate,1,Good,16,Good,4,Good,56,Moderate,20.2944,-102.7097
